Scene #,First Frame #,Last Frame #,Quality,Type,
Scene 1,0172992,0173598,good,green screen,
Scene 2,0173599,0174121,good,behind the scenes,
Scene 3,0174122,0174775,good,green screen,
Scene 4,0174776,0174809,good,training room,
Scene 5,0174810,0174835,bad?,stage red pants,
Scene 6,0174836,0174867,bad?,stage training,
Scene 7,0174868,0174910,good,stage robots,
Scene 8,0174911,0175013,bad?,stage red pants,
Scene 9,0175014,0175052,good,stage robots,
Scene 10,0175053,0175092,bad?,stage training,
Scene 11,0175093,0175193,bad,stage grey pants,
Scene 12,0175194,0175240,good,green screen,
Scene 13,0175241,0175277,bad?,stage red pants,
Scene 14,0175278,0175313,good,training room 2,
Scene 15,0175314,0175352,bad,stage grey pants,
Scene 16,0175353,0175380,good,stage golden pants,
Scene 17,0175381,0175475,bad,stage grey pants,
Scene 18,0175476,0175573,bad,stage red pants,
Scene 19,0175538,0175575,good,trainig room 2,
Scene 20,0175576,0175591,good,stage golden pants,
Scene 21,0175592,0175640,good,trainig room 2,
Scene 22,0175641,0175779,bad,stage grey pants,
Scene 23,0175780,0175904,good,movie robots,
Scene 24,0175905,0176030,bad,stage grey pants split,
Scene 25,0176031,0176071,bad,stage grey pants,
Scene 26,0176072,0176104,good?,stage no jackson,
Scene 27,0176105,0176181 ,bad,stage grey pants,
Scene 28,0176182,0176244,good,stage grey pants closeup split,
Scene 29,0176245,0176276,good,stage no jackson,
Scene 30,0176277,0176341,bad,stage grey pants,
Scene 31,0176342,0176368,good,stage grey pants closeup,
Scene 32,0176369,0176444,good,movie robots,
Scene 33,0176445,0176484,bad,stage grey pants,
Scene 34,0176485,0176566,good,movie robots,
Scene 35,0176567,0176612,good,stage grey pants closeup,
Scene 36,0176613,0176693,good,movie robots,
Scene 37,0176694,0176725,good,stage back vocal,
Scene 38,0176726,0176842,good,stage grey pants closeup,
Scene 39,0176843,0176939,bad,stage grey pants,
Scene 40,0176940,0176994,good,stage grey pants closeup,
Scene 41,0176995,0177073,bad,stage grey pants,
Scene 42,0177074,0177117,good,stage grey pants closeup,
Scene 43,0177118,0177180,bad,stage grey pants,
